date,description,debit,credit
2024-09-07,   TO TRANSFER-UPI/DR/************/AMBICA M/YESB/paytm.s10w/UPI--,337, 
2024-09-07,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,18155.98, 
2024-09-07,   BY TRANSFER-UPI/CR/************/Amazon I/RATN/amazon.ref/Refun--, ,545
2024-09-08,   TO TRANSFER-UPI/DR/************/SLN VENT/BARB/slnve90088/UPI--,25, 
2024-09-08,   TO TRANSFER-UPI/DR/************/UPILITE--,1000, 
2024-09-08,   ATM WDL-ATM CASH 814   92 KRISHNA PRASAD 5TH BANGALORE--,10000, 
2024-09-09,   TO TRANSFER-UPI/DR/************/WORLDLIN/YESB/TPSLECOMIN/Payme--,996, 
2024-09-09,   TO TRANSFER-UPI/DR/************/CRED/ICIC/cred.telec/cred--,883.82, 
2024-09-09,   TO TRANSFER-UPI/DR/************/AMBICA M/YESB/paytm.s10w/UPI--,620, 
2024-09-10,   BY TRANSFER-INB pgr--, ,15000
2024-09-10,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,2000, 
2024-09-10,   TO TRANSFER-UPI/DR/************/SUNITHA /YESB/q*********/UPI--,10000, 
2024-09-11,   TO TRANSFER-UPI/DR/************/NITHIN  M/UBIN/nithinmnai/UPI--,2322, 
2024-09-11,   BY TRANSFER-INB pgr--, ,100000
2024-09-11,   TO TRANSFER-UPI/DR/************/Grey Man/UTIB/**********/na--,1079, 
2024-09-11,   ATM WDL-ATM CASH 6148  RBI LAYOUT JPNAGAR    BBMP(M CORP.)--,20000, 
2024-09-12,CHQ TRANSFER-CHEQUE TRANSFER TO--******,53770, 
2024-09-12,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,24700.25, 
2024-09-13,   BY TRANSFER-INB pgr--, ,50000
2024-09-14,   TO TRANSFER-INB IMPS/************/KVBL-xx219-Sathguru/--,6000, 
2024-09-14,   TO TRANSFER-UPI/DR/************/Vijayaku/SBIN/vijayadav9/UPI--,1800, 
2024-09-14,   TO TRANSFER-UPI/DR/************/RAGVENDR/SBIN/raghunanda/UPI--,1000, 
2024-09-15,   TO TRANSFER-UPI/DR/************/MALLESH /KARB/mallesh.dn/UPI--,3000, 
2024-09-15,   TO TRANSFER-UPI/DR/************/Amazon I/RATN/amazon@rap/Reque--,899, 
2024-09-15,   TO TRANSFER-UPI/DR/************/RAJESH T S/CNRB/rajeshtsra/UPI--,1792, 
2024-09-16,   ATM WDL-ATM CASH 8886  BANGALORE             BANGALORE--,20000, 
2024-09-16,   ATM WDL-ATM CASH 8888  BANGALORE             BANGALORE--,15000, 
2024-09-17,   BY TRANSFER-INB pgr--, ,10000
2024-09-17,   TO TRANSFER-UPI/DR/************/SUNITHA /YESB/q*********/UPI--,10000, 
2024-09-17,   TO TRANSFER-UPI/DR/************/Zepto/utib/zepto.rzp@/UPI--,231, 
2024-09-18,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,1650, 
2024-09-19,   BY TRANSFER-INB pgr--, ,20000
2024-09-19,   TO TRANSFER-UPI/DR/************/Usekiwi /YESB/paytm-3755/UPI--,1700, 
2024-09-20,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,500, 
2024-09-20,   ATM WDL-ATM CASH 1477  ANJANAPURA BANGALORE  BANGALORE--,15000, 
2024-09-20,   BY TRANSFER-INB pgr--, ,60000
2024-09-21,   TO TRANSFER-UPI/DR/************/Amazon I/RATN/amazon@rap/Reque--,499, 
2024-09-21,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,20000, 
2024-09-21,   ATM WDL-ATM CASH 1646  ANJANAPURA BANGALORE  BANGALORE--,20000, 
2024-09-21,   ATM WDL-ATM CASH 1648  ANJANAPURA BANGALORE  BANGALORE--,20000, 
2024-09-21,   TO TRANSFER-UPI/DR/************/MEGHA N/HDFC/meghabalu3/UPI--,1500, 
2024-09-23,   TO TRANSFER-UPI/DR/************/UPILITE--,500, 
2024-09-24,   BY TRANSFER-INB pgr--, ,100000
2024-09-24,   TO TRANSFER-UPI/DR/************/RANJITHA S/HDFC/ranjithas2/UPI--,50000, 
2024-09-24,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,38057, 
2024-09-25,   BY TRANSFER-INB pgr---, ,100000
2024-09-25,   CSH DEP (CDM)-CDM*******KONANKUNTE ADWM 11284 BANGALORE    KA IN--, ,47000
2024-09-25,   BY TRANSFER-INB pgr--, ,100000
2024-09-25,CHQ TRANSFER-RTGS UTR NO: SBINR*****************--4590 CHITLUR BHAGYALAKSHMAMMA,250023.6, 
2024-09-25,   TO TRANSFER-UPI/DR/************/NIRANJAN/YESB/paytmqr281/UPI--,330, 
2024-09-25,   BY TRANSFER-INB pgr--, ,20000
2024-09-25,   TO TRANSFER-UPI/DR/************/SHIVAKUM/SBIN/kumarssanj/UPI--,13500, 
2024-09-25,   TO TRANSFER-UPI/DR/************/ANSHIKA /UBIN/anshikavla/UPI--,2700, 
2024-09-25,   CREDIT INTEREST---, ,391
2024-09-26,   BY TRANSFER-UPI/CR/************/IRCTC/HDFC/irctc89.pa/REFUND--, ,4040
2024-09-27,   TO TRANSFER-UPI/DR/************/BHARTI A/AIRP/airtelcomm/Payme--,1731.36, 
2024-09-28,   TO TRANSFER-UPI/DR/************/SHIRDI S/BARB/shird93412/Verif--,1000, 
2024-09-30,   TO TRANSFER-UPI/DR/************/BOREGOWDAS/YESB/q*********/UPI--,76, 
2024-09-30,   TO TRANSFER-UPI/DR/************/SUNITHA /YESB/q*********/UPI--,13000, 
2024-09-30,   BY TRANSFER-INB pgr--, ,75000
2024-09-30,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,51443.91, 
2024-10-01,   TO TRANSFER-UPI/DR/************/RAMAMURT/KVBL/ramamurthy/UPI--,9000, 
2024-10-01,   BY TRANSFER-INB pgr--, ,60000
2024-10-01,   TO TRANSFER-UPI/DR/************/Axis/UTIB/amazonupi@/Request--,1269, 
2024-10-01,   TO TRANSFER-UPI/DR/************/Axis/UTIB/amazonupi@/Request--,309, 
2024-10-02,   TO TRANSFER-UPI/DR/************/UPILITE--,500, 
2024-10-02,   TO TRANSFER-UPI/DR/************/MYNTRA D/INDB/myntra.pay/UPI--,1454, 
2024-10-02,   TO TRANSFER-UPI/DR/************/Amazon I/RATN/amazon@rap/Reque--,1327, 
2024-10-02,   TO TRANSFER-UPI/DR/************/Axis/UTIB/amazonupi@/Request--,499, 
2024-10-02,   TO TRANSFER-UPI/DR/************/Amazon I/RATN/amazon@rap/Reque--,245, 
2024-10-03,   DEBIT-ACHDr NACH************** IDFC FIRST BAN--,9081, 
2024-10-03,   DEBIT-ACHDr NACH************** RAZORPAYSOFTWA--,37637, 
2024-10-03,   TO TRANSFER-INB Cc--,20000, 
2024-10-03,   BY TRANSFER-INB pgr--, ,50000
2024-10-03,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,51987, 
2024-10-04,   BY TRANSFER-INB IMPS/************/ybl-XX201-DREAMPLU/Paid via--, ,1
2024-10-04,   BY TRANSFER-UPI/CR/************/P SAI DE/HDFC/deekshiths/UPI--, ,45000
2024-10-04,   TO TRANSFER-INB Pgr--,42000, 
2024-10-05,   BY TRANSFER-UPI/CR/************/P MADHAVI/UBIN/**********/Paym--, ,47000
2024-10-06,   TO TRANSFER-UPI/DR/************/P SAI DE/HDFC/deekshiths/UPI--,45000, 
2024-10-07,   TO TRANSFER-UPI/DR/************/Amazon I/RATN/amazon@rap/Amazo--,399, 
2024-10-07,   TO TRANSFER-UPI/DR/************/Axis/UTIB/amazonupi@/Request--,699, 
2024-10-09,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,1500, 
2024-10-10,   TO TRANSFER-UPI/DR/************/LAKSHMI/YESB/q*********/UPI--,850, 
2024-10-10,   BY TRANSFER-INB pgr--, ,55000
2024-10-10,   ATM WDL-ATM CASH 176   KONANKUNTE ADWM 11284 BANGALORE--,20000, 
2024-10-10,   ATM WDL-ATM CASH 180   KONANKUNTE ADWM 11284 BANGALORE--,20000, 
2024-10-10,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,10600, 
2024-10-10,   TO TRANSFER-UPI/DR/************/RAGHAVEN/SBIN/**********/UPI--,2000, 
2024-10-10,   BY TRANSFER-UPI/CR/************/P SAI DE/HDFC/deekshiths/UPI--, ,75000
2024-10-10,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.telec/payment--,883.82, 
2024-10-10,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,50000, 
2024-10-10,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,21577.22, 
2024-10-11,   TO TRANSFER-UPI/DR/************/Mr E SAR/IDIB/esarathesa/UPI--,600, 
2024-10-11,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,2500, 
2024-10-12,   TO TRANSFER-UPI/DR/************/BIGTREE /UTIB/bookmyshow/BIGTR--,275.96, 
2024-10-13,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,5000, 
2024-10-16,   BY TRANSFER-INB pgr--, ,20000
2024-10-17,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,5000, 
2024-10-18,   ATM WDL-ATM CASH 4768  BANGALORE             BANGALORE--,13000, 
2024-10-19,   BY TRANSFER-INB pgr--, ,10000
2024-10-19,   BY TRANSFER-INB pgr--, ,3000
2024-10-19,   TO TRANSFER-UPI/DR/************/The Slee/AIRP/thesleepco/TheSl--,14098, 
2024-10-19,   TO TRANSFER-UPI/DR/************/Arha Med/YESB/paytm-5182/UPI M--,299.25, 
2024-10-20,   TO TRANSFER-UPI/DR/************/BELUR IY/YESB/q*********/UPI--,80, 
2024-10-21,   TO TRANSFER-UPI/DR/************/BESOUPS/HDFC/vyapar.171/UPI--,60, 
2024-10-24,   TO TRANSFER-UPI/DR/************/Amazon I/RATN/amazon@rap/Reque--,137, 
2024-10-24,   BY TRANSFER-INB pgr--, ,5000
2024-10-24,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,500, 
2024-10-24,   TO TRANSFER-UPI/DR/************/Mr E SAR/IDIB/esarathesa/UPI--,500, 
2024-10-25,   CSH DEP (CDM)-CDM*******KONANAKUNTE-2         BENGALURU    KA IN--, ,10000
2024-10-25,   BY TRANSFER-INB pgr--, ,40000
2024-10-25,   BY TRANSFER-INB pgr--, ,20000
2024-10-25,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,52037, 
2024-10-25,   TO TRANSFER-UPI/DR/************/SHIVAKUM/SBIN/kumarssanj/UPI--,13500, 
2024-10-27,   TO TRANSFER-UPI/DR/************/Saddam  ./SBIN/saddamknha/UPI--,110, 
2024-10-28,   TO TRANSFER-UPI/DR/************/BHARTI A/AIRP/airtelcomm/Payme--,1710.09, 
2024-10-28,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,750, 
2024-10-29,   TO TRANSFER-UPI/DR/************/AMBICA M/YESB/paytm.s10w/UPI--,2086, 
2024-10-29,   CSH DEP (CDM)-CDM*******KONANKUNTE ADWM 11284 BANGALORE    KA IN--, ,19000
2024-10-30,   BY TRANSFER-INB pgr sbi--, ,175000
2024-10-30,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,44862.4, 
2024-10-30,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,61301.46, 
2024-10-30,   TO TRANSFER-UPI/DR/************/RANJITHA S/HDFC/ranjithas2/UPI--,50000, 
2024-10-30,   ATM WDL-ATM CASH 6410  KONANAKUNTE BANGALORE BANGALORE--,20000, 
2024-10-31,   TO TRANSFER-UPI/DR/************/SLN VENT/BARB/slnve90088/UPI--,25, 
2024-11-01,   TO TRANSFER-UPI/DR/************/Vinayaka/YESB/ticketnew@/NA--,223.6, 
2024-11-01,   TO TRANSFER-UPI/DR/************/PVR Supe/YESB/ticketnew@/NA--,782.6, 
2024-11-03,   DEBIT-ACHDr NACH************** IDFC FIRST BAN--,9081, 
2024-11-03,   BY TRANSFER-UPI/CR/************/P MADHAVI/UBIN/**********/Paym--, ,49000
2024-11-03,   TO TRANSFER-INB Cc--,59000, 
2024-11-04,   BY TRANSFER-INB IMPS/************/RNB-XX012-LOCON SO/RentfromG--, ,49000
2024-11-04,   TO TRANSFER-INB Cc--,10000, 
2024-11-04,   TO TRANSFER-UPI/DR/************/POLA SAI/HDFC/polasatvik/UPI--,17000, 
2024-11-05,   BY TRANSFER-UPI/CR/************/P MADHAVI/UBIN/**********/Paym--, ,47000
2024-11-05,   TO TRANSFER-INB Cc--,60000, 
2024-11-05,   TO TRANSFER-UPI/DR/************/RAJESH T S/CNRB/rajeshtsra/UPI--,1792, 
2024-11-08,   TO TRANSFER-UPI/DR/************/PVR INOX/YESB/amznplpvrv/UPI--,270, 
2024-11-09,   BY TRANSFER-INB pgr--, ,200000
2024-11-09,   ATM WDL-ATM CASH 7931  BANGALORE             BANGALORE--,20000, 
2024-11-09,   ATM WDL-ATM CASH 7933  BANGALORE             BANGALORE--,20000, 
2024-11-09,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,39715.04, 
2024-11-09,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,30000, 
2024-11-09,   TO TRANSFER-UPI/DR/************/Mr E SAR/IDIB/esarathesa/UPI--,14455, 
2024-11-09,   TO TRANSFER-UPI/DR/************/HANUMANTHA/CNRB/rajugowda4/UPI--,17900, 
2024-11-09,   TO TRANSFER-UPI/DR/************/RAGHU/CNRB/raghuchari/UPI--,22200, 
2024-11-09,   TO TRANSFER-UPI/DR/************/SURESH R/KARB/sr*******-/UPI--,12300, 
2024-11-10,   TO TRANSFER-UPI/DR/************/SRI BHUV/YESB/paytm.s10r/UPI--,80, 
2024-11-10,   BY TRANSFER-INB pgr--, ,10000
2024-11-10,   ATM WDL-ATM CASH 8284  BANGALORE             BANGALORE--,20000, 
2024-11-10,   ATM WDL-ATM CASH 8286  BANGALORE             BANGALORE--,20000, 
2024-11-12,   TO TRANSFER-UPI/DR/************/ACT  Bro/YESB/paytm-actb/UPI--,883.82, 
2024-11-12,   TO TRANSFER-UPI/DR/************/HPCL REN/UTIB/**********/UPI--,500, 
2024-11-12,   BY TRANSFER-INB pgr--, ,80000
2024-11-12,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,33216.47, 
2024-11-12,   TO TRANSFER-UPI/DR/************/UPILITE--,1500, 
2024-11-12,   ATM WDL-ATM CASH 4843  92 KRISHNA PRASAD 5TH BANGALORE--,20000, 
2024-11-13,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,600, 
2024-11-16,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,500, 
2024-11-17,   BY TRANSFER-INB pgr--, ,40000
2024-11-17,   ATM WDL-ATM CASH 6387  ANJANAPURA BANGALORE  BANGALORE--,20000, 
2024-11-17,   TO TRANSFER-UPI/DR/************/P SAI DE/SBIN/deekshiths/UPI--,20000, 
2024-11-17,   ATM WDL-ATM CASH 6389  ANJANAPURA BANGALORE  BANGALORE--,20000, 
2024-11-17,   TO TRANSFER-UPI/DR/************/Smart Po/JIOP/**********/UPI--,553.85, 
2024-11-17,   TO TRANSFER-UPI/DR/************/C NISHAN/HDFC/**********/UPI--,905, 
2024-11-18,   TO TRANSFER-UPI/DR/************/Google I/ICIC/googlebbps/UPI--,500, 
2024-11-18,   BY TRANSFER-INB pgr--, ,5000
2024-11-19,   TO TRANSFER-UPI/DR/************/NAHIDA K/UJVN/khuddusmoh/UPI--,5000, 
2024-11-20,   BY TRANSFER-INB pgr--, ,5000
2024-11-20,   TO TRANSFER-UPI/DR/************/Mr Manju/CIUB/manjumanju/UPI--,3300, 
2024-11-20,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,1000, 
2024-11-21,   BY TRANSFER-INB pgr--, ,25000
2024-11-21,   ATM WDL-ATM CASH 6998  ANJANAPURA BANGALORE  BANGALORE--,20000, 
2024-11-21,   ATM WDL-ATM CASH 6999  ANJANAPURA BANGALORE  BANGALORE--,5000, 
2024-11-22,   TO TRANSFER-UPI/DR/************/AYAPPA G/KARB/ayyappavo8/UPI--,40, 
2024-11-22,   TO TRANSFER-UPI/DR/************/SRI BHUV/YESB/paytm.s14o/UPI--,1052, 
2024-11-22,   TO TRANSFER-UPI/DR/************/KEMPARAJU/YESB/paytmqr281/UPI--,623, 
2024-11-25,   CSH DEP (CDM)-CDM*******KONANKUNTE ADWM 11284 BANGALORE    KA IN--, ,22500
2024-11-25,   CSH DEP (CDM)-CDM*******KONANKUNTE ADWM 11284 BANGALORE    KA IN--, ,500
2024-11-25,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,20778, 
2024-11-26,   TO TRANSFER-UPI/DR/************/Amazon I/RATN/amazon@rap/Reque--,471, 
2024-11-26,   TO TRANSFER-UPI/DR/************/BHARTI A/AIRP/airtelcomm/Payme--,1710.09, 
2024-11-28,   TO TRANSFER-UPI/DR/************/POOJAPRO/YESB/q*********/UPI--,120, 
2024-11-30,   BY TRANSFER-INB pgr--, ,5000
2024-11-30,   TO TRANSFER-UPI/DR/************/TEACURRY/UTIB/teacurry91/PR8sA--,2398, 
2024-11-30,   CSH DEP (CDM)-CDM*******KONANKUNTE ADWM 11284 BANGALORE    KA IN--, ,24500
2024-11-30,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,27136.05, 
2024-12-01,   TO TRANSFER-UPI/DR/************/Google I/ICIC/gpaytoll@i/UPI--,1000, 
2024-12-02,   BY TRANSFER-INB pgr--, ,60000
2024-12-02,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,58853.82, 
2024-12-02,   BY TRANSFER-INB pgr--, ,15000
2024-12-02,CHEQUE DEPOSIT- BC ********* DT ****** CANCELLED CR TO AC--******, ,53500
2024-12-02,   DEBIT- IOI PAYMENT CHARGES--,118, 
2024-12-03,   TO TRANSFER-UPI/DR/************/UPILITE--,1500, 
2024-12-03,   TO TRANSFER-UPI/DR/************/A V Shas/YESB/paytmqr61e/UPI--,1450, 
2024-12-03,   DEBIT-ACHDr NACH************** IDFC FIRST BAN--,9081, 
2024-12-04,   TO TRANSFER-UPI/DR/************/LAKSHMI/YESB/q*********/UPI--,900, 
2024-12-04,   BULK POSTING-ACHCr HDFC************** NATCO 2ndINTDI--, ,150
2024-12-04,   ATM WDL-ATM CASH 8853  KONANAKUNTE BANGALORE BANGALORE--,20000, 
2024-12-04,   TO TRANSFER-UPI/DR/************/POLA SAI/HDFC/polasatvik/UPI--,17000, 
2024-12-05,   TO TRANSFER-UPI/DR/************/TENAX TEES/UTIB/tenaxtees5/Pay--,1091.55, 
2024-12-05,   TO TRANSFER-UPI/DR/************/SREE SHI/ICIC/shirdisais/Payme--,7001, 
2024-12-05,   BY TRANSFER-INB pgr--, ,50000
2024-12-05,   TO TRANSFER-UPI/DR/************/RANJITHA S/HDFC/ranjithas2/UPI--,30000, 
2024-12-06,   TO TRANSFER-UPI/DR/************/Le trave/utib/ixigo.abhi/UPI--,599, 
2024-12-07,   EXCESS DB ATM---,23.6, 
2024-12-10,   BY TRANSFER-INB pgr--, ,50000
2024-12-10,   TO TRANSFER-UPI/DR/************/CredClub/ICIC/credclub@i/payme--,59276.79, 
2024-12-10,   ATM WDL-ATM CASH 8727  KONANKUNTE ADWM 11284 BANGALORE--,20000, 
2024-12-11,   BY TRANSFER-INB pgr--, ,70000
2024-12-11,   ATM WDL-ATM CASH 7467  KONANAKUNTE-2         BENGALURU--,20000, 
2024-12-11,   ATM WDL-ATM CASH 7469  KONANAKUNTE-2         BENGALURU--,20000, 
2024-12-11,   TO TRANSFER-UPI/DR/************/HANUMANTHA/CNRB/rajugowda4/UPI--,19092, 
2024-12-11,   TO TRANSFER-UPI/DR/************/RAGHU/CNRB/raghuchari/UPI--,10000, 
2024-12-14,   TO TRANSFER-UPI/DR/************/ACT  Bro/YESB/paytm-actb/UPI--,883.82, 
2024-12-15,   TO TRANSFER-UPI/DR/************/HANUMANTHA/CNRB/rajugowda4/UPI--,2000, 
2024-12-16,   BY TRANSFER-INB pgr--, ,20000
2024-12-16,   BY TRANSFER-INB pgr--, ,25000
2024-12-16,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,17023.5, 
2024-12-16,   TO TRANSFER-UPI/DR/************/RANJITHA S/HDFC/ranjithas2/UPI--,22000, 
2024-12-17,   BY TRANSFER-INB pgr--, ,60000
2024-12-17,   ATM WDL-ATM CASH 9990  ANJANAPURA BANGALORE  BANGALORE--,20000, 
2024-12-17,   ATM WDL-ATM CASH 9992  ANJANAPURA BANGALORE  BANGALORE--,20000, 
2024-12-18,   BY TRANSFER-INB pgr--, ,20000
2024-12-18,   ATM WDL-ATM CASH 146   ANJANAPURA BANGALORE  BANGALORE--,20000, 
2024-12-18,   ATM WDL-ATM CASH 148   ANJANAPURA BANGALORE  BANGALORE--,20000, 
2024-12-21,   TO TRANSFER-UPI/DR/************/Amazon Pay/UTIB/amazonupi@/You--,599, 
2024-12-22,   BY TRANSFER-INB pgr--, ,10000
2024-12-22,   TO TRANSFER-UPI/DR/************/P YALINI/PUNB/yaliniprab/UPI--,15530, 
2024-12-24,   TO TRANSFER-UPI/DR/************/SWIGGY L/UTIB/swiggyinst/UPI--,208, 
2024-12-24,   BY TRANSFER-INB pgr--, ,125000
2024-12-25,   TO TRANSFER-UPI/DR/************/RAMAMOHA/KKBK/**********/UPI--,8100, 
2024-12-25,   TO TRANSFER-UPI/DR/************/SANJAY K/BARB/kumarssanj/UPI--,13500, 
2024-12-25,   CREDIT INTEREST---, ,104
2024-12-26,   TO TRANSFER-INB Cc--,100000, 
2024-12-27,   BY TRANSFER-INB pgr--, ,25000
2024-12-27,   TO TRANSFER-UPI/DR/************/Mr Manju/CIUB/manjumanju/UPI--,3300, 
2024-12-27,   TO TRANSFER-UPI/DR/************/FARIDA B/KARB/muskan325k/UPI--,2000, 
2024-12-27,   TO TRANSFER-UPI/DR/************/E  SARATH/SBIN/esarathesa/UPI--,3500, 
2024-12-27,   TO TRANSFER-UPI/DR/************/SURESH R/KARB/sr*******-/UPI--,3000, 
2024-12-28,   TO TRANSFER-UPI/DR/************/BHARTI A/AIRP/airtelcomm/Payme--,1713.63, 
2024-12-28,   TO TRANSFER-UPI/DR/************/HEMA/KARB/hema74051@/UPI--,15000, 
2024-12-28,   BY TRANSFER-INB pgr--, ,20000
2024-12-28,   TO TRANSFER-UPI/DR/************/SUBODHA /HDFC/subodhamed/UPI--,1438, 
2024-12-29,   ATM WDL-ATM CASH 1652  ANJANAPURA BANGALORE  BANGALORE--,15000, 
2024-12-30,   BY TRANSFER-INB pgr--, ,50000
2024-12-30,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,31490.82, 
2024-12-31,   TO TRANSFER-UPI/DR/************/Axis/UTIB/amazonupi@/Request--,699, 
2024-12-31,   TO TRANSFER-UPI/DR/************/Amazon I/RATN/amazon@rap/Reque--,699, 
2024-12-31,   BY TRANSFER-UPI/CR/************/Amazon I/RATN/amazon.ref/Refun--, ,699
2024-12-31,   TO TRANSFER-UPI/DR/************/Axis/UTIB/amazonupi@/Request--,259, 
2025-01-01,   ATM WDL-ATM CASH 5763  KONANKUNTE ADWM       BANGALORE--,10000, 
2025-01-01,   BY TRANSFER-INB pgr--, ,15000
2025-01-01,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,23992.17, 
2025-01-02,   BY TRANSFER-INB pgr--, ,10000
2025-01-02,   TO TRANSFER-UPI/DR/************/S B S WA/UBIN/ramugowda1/UPI--,800, 
2025-01-03,   TO TRANSFER-UPI/DR/************/UPILITE--,500, 
2025-01-03,   DEBIT-ACHDr NACH************** IDFC FIRST BAN--,9081, 
2025-01-04,   TO TRANSFER-UPI/DR/************/BHARTI A/AIRP/airtelprep/Payme--,349, 
2025-01-04,   BY TRANSFER-UPI/CR/************/P MADHAVI/UBIN/**********/Paym--, ,49000
2025-01-04,   TO TRANSFER-UPI/DR/************/POLA SAI/HDFC/polasatvik/UPI--,34000, 
2025-01-05,   TO TRANSFER-UPI/DR/************/Axis/UTIB/amazonupi@/Request--,251, 
2025-01-05,   TO TRANSFER-UPI/DR/************/GIRIDHAR/KARB/giri******/UPI--,7500, 
2025-01-06,   TO TRANSFER-UPI/DR/************/RAGHU/CNRB/raghuchari/UPI--,500, 
2025-01-06,   TO TRANSFER-UPI/DR/************/RAJESH T S/CNRB/rajeshtsra/UPI--,1680, 
2025-01-06,   TO TRANSFER-UPI/DR/************/RAGHU/CNRB/raghuchari/UPI--,3000, 
2025-01-06,   TO TRANSFER-UPI/DR/************/Swiggy L/UTIB/swiggy1onl/UPI--,231, 
2025-01-07,   EXCESS DB ATM---,23.6, 
2025-01-08,   TO TRANSFER-UPI/DR/************/PARASHUR/FDRL/bharatpe.8/Pay T--,170, 
2025-01-08,   TO TRANSFER-UPI/DR/************/NAHIDA K/KARB/nayaznayaz/UPI--,2000, 
2025-01-10,   BY TRANSFER-INB pgr--, ,200000
2025-01-10,CASH CHEQUE-CASH WITHDRAWAL BY CHQ--4593,200000, 
